Edge - Vertices 	 	Weight
1494 - 4123	 	 	3
4604 - 4124	 	 	18
1927 - 4125	 	 	28
2581 - 4126	 	 	3
4428 - 4127	 	 	15
4335 - 4128	 	 	4
2364 - 4129	 	 	26
3375 - 4130	 	 	5
4628 - 4131	 	 	26
1566 - 4132	 	 	22
399 - 4133	 	 	16
1119 - 4134	 	 	29
3662 - 4135	 	 	11
1508 - 4136	 	 	1
473 - 4137	 	 	6
3716 - 4138	 	 	5
1961 - 4139	 	 	23
2339 - 4140	 	 	18
4203 - 4141	 	 	4
263 - 4142	 	 	40
4084 - 4143	 	 	47
12 - 4144	 	 	25
961 - 4145	 	 	20
987 - 4146	 	 	18
2021 - 4147	 	 	15
361 - 4148	 	 	30
1596 - 4149	 	 	32
1483 - 4150	 	 	5
4538 - 4151	 	 	1
2956 - 4152	 	 	40
1059 - 4153	 	 	31
580 - 4154	 	 	38
690 - 4155	 	 	6
2510 - 4156	 	 	4
671 - 4157	 	 	18
263 - 4158	 	 	19
3199 - 4159	 	 	5
3609 - 4160	 	 	11
1124 - 4161	 	 	8
4984 - 4162	 	 	19
4017 - 4163	 	 	11
830 - 4164	 	 	44
355 - 4165	 	 	16
763 - 4166	 	 	17
2048 - 4167	 	 	29
506 - 4168	 	 	28
1668 - 4169	 	 	19
1864 - 4170	 	 	26
3430 - 4171	 	 	24
1063 - 4172	 	 	18
2390 - 4173	 	 	33
998 - 4174	 	 	11
4285 - 4175	 	 	2
2861 - 4176	 	 	12
812 - 4177	 	 	3
2466 - 4178	 	 	22
2708 - 4179	 	 	10
4756 - 4180	 	 	5
2953 - 4181	 	 	8
3350 - 4182	 	 	13
1151 - 4183	 	 	1
4436 - 4184	 	 	4
1352 - 4185	 	 	10
542 - 4186	 	 	14
242 - 4187	 	 	14
927 - 4188	 	 	19
3794 - 4189	 	 	5
4515 - 4190	 	 	2
2009 - 4191	 	 	14
1097 - 4192	 	 	35
1645 - 4193	 	 	22
3 - 4194	 	 	7
0 - 4195	 	 	20
3992 - 4196	 	 	3
3913 - 4197	 	 	18
854 - 4198	 	 	8
2514 - 4199	 	 	5
2232 - 4200	 	 	23
3467 - 4201	 	 	19
2246 - 4202	 	 	1
819 - 4203	 	 	4
2759 - 4204	 	 	16
2795 - 4205	 	 	29
4488 - 4206	 	 	10
134 - 4207	 	 	12
3047 - 4208	 	 	26
1543 - 4209	 	 	12
3147 - 4210	 	 	24
525 - 4211	 	 	38
3639 - 4212	 	 	10
1725 - 4213	 	 	9
3187 - 4214	 	 	1
1161 - 4215	 	 	8
4774 - 4216	 	 	9
2994 - 4217	 	 	6
4598 - 4218	 	 	2
4038 - 4219	 	 	9
14 - 4220	 	 	22
1647 - 4221	 	 	29
3132 - 4222	 	 	8
4988 - 4223	 	 	7
1907 - 4224	 	 	13
4527 - 4225	 	 	6
520 - 4226	 	 	58
1630 - 4227	 	 	14
3424 - 4228	 	 	14
4992 - 4229	 	 	15
2819 - 4230	 	 	10
4282 - 4231	 	 	2
931 - 4232	 	 	9
322 - 4233	 	 	12
2812 - 4234	 	 	22
3217 - 4235	 	 	19
632 - 4236	 	 	7
3072 - 4237	 	 	45
1063 - 4238	 	 	23
15 - 4239	 	 	15
4169 - 4240	 	 	11
3708 - 4241	 	 	14
382 - 4242	 	 	6
2332 - 4243	 	 	9
4631 - 4244	 	 	23
111 - 4245	 	 	11
2837 - 4246	 	 	15
1933 - 4247	 	 	7
266 - 4248	 	 	11
3452 - 4249	 	 	3
1316 - 4250	 	 	16
1357 - 4251	 	 	1
2326 - 4252	 	 	25
1536 - 4253	 	 	43
4229 - 4254	 	 	51
344 - 4255	 	 	19
3917 - 4256	 	 	18
1877 - 4257	 	 	14
1068 - 4258	 	 	6
4397 - 4259	 	 	53
4483 - 4260	 	 	3
244 - 4261	 	 	11
4440 - 4262	 	 	6
2071 - 4263	 	 	10
2692 - 4264	 	 	3
3752 - 4265	 	 	2
2119 - 4266	 	 	17
3019 - 4267	 	 	11
2369 - 4268	 	 	8
4737 - 4269	 	 	16
1904 - 4270	 	 	4
916 - 4271	 	 	15
298 - 4272	 	 	13
1807 - 4273	 	 	21
2242 - 4274	 	 	12
2546 - 4275	 	 	13
3219 - 4276	 	 	2
2754 - 4277	 	 	4
3973 - 4278	 	 	5
1775 - 4279	 	 	46
2633 - 4280	 	 	9
2140 - 4281	 	 	40
4183 - 4282	 	 	15
2088 - 4283	 	 	6
4377 - 4284	 	 	1
3509 - 4285	 	 	13
3902 - 4286	 	 	11
4102 - 4287	 	 	6
4582 - 4288	 	 	35
4045 - 4289	 	 	14
4264 - 4290	 	 	10
1259 - 4291	 	 	5
402 - 4292	 	 	28
4965 - 4293	 	 	12
3917 - 4294	 	 	7
1980 - 4295	 	 	80
168 - 4296	 	 	28
466 - 4297	 	 	10
1386 - 4298	 	 	13
2654 - 4299	 	 	25
4484 - 4300	 	 	17
1777 - 4301	 	 	8
2714 - 4302	 	 	25
3616 - 4303	 	 	25
1730 - 4304	 	 	9
2882 - 4305	 	 	25
1853 - 4306	 	 	48
4671 - 4307	 	 	25
2286 - 4308	 	 	18
2178 - 4309	 	 	28
1747 - 4310	 	 	27
4431 - 4311	 	 	23
3025 - 4312	 	 	59
87 - 4313	 	 	33
522 - 4314	 	 	5
3379 - 4315	 	 	21
2393 - 4316	 	 	28
3430 - 4317	 	 	15
1586 - 4318	 	 	12
2550 - 4319	 	 	15
409 - 4320	 	 	3
1269 - 4321	 	 	18
4965 - 4322	 	 	28
4799 - 4323	 	 	26
264 - 4324	 	 	13
1513 - 4325	 	 	9
2596 - 4326	 	 	25
925 - 4327	 	 	17
4962 - 4328	 	 	39
4615 - 4329	 	 	8
2392 - 4330	 	 	9
2383 - 4331	 	 	10
828 - 4332	 	 	14
3308 - 4333	 	 	13
1456 - 4334	 	 	14
4790 - 4335	 	 	5
4498 - 4336	 	 	12
3285 - 4337	 	 	19
2818 - 4338	 	 	33
2503 - 4339	 	 	23
2469 - 4340	 	 	8
3743 - 4341	 	 	5
4443 - 4342	 	 	17
1859 - 4343	 	 	9
2349 - 4344	 	 	11
308 - 4345	 	 	14
1848 - 4346	 	 	11
4315 - 4347	 	 	12
4293 - 4348	 	 	7
2488 - 4349	 	 	4
950 - 4350	 	 	18
4548 - 4351	 	 	9
241 - 4352	 	 	30
2576 - 4353	 	 	15
1093 - 4354	 	 	20
4020 - 4355	 	 	18
4823 - 4356	 	 	25
1195 - 4357	 	 	13
4151 - 4358	 	 	22
3527 - 4359	 	 	7
3009 - 4360	 	 	29
3852 - 4361	 	 	25
3152 - 4362	 	 	6
4375 - 4363	 	 	4
1766 - 4364	 	 	15
1130 - 4365	 	 	2
3479 - 4366	 	 	17
497 - 4367	 	 	20
4179 - 4368	 	 	26
1498 - 4369	 	 	11
1789 - 4370	 	 	1
2578 - 4371	 	 	5
1275 - 4372	 	 	28
791 - 4373	 	 	11
265 - 4374	 	 	6
4287 - 4375	 	 	5
4970 - 4376	 	 	18
2932 - 4377	 	 	18
1625 - 4378	 	 	15
2077 - 4379	 	 	8
4696 - 4380	 	 	12
1178 - 4381	 	 	1
3526 - 4382	 	 	12
3625 - 4383	 	 	23
2469 - 4384	 	 	23
2054 - 4385	 	 	22
2291 - 4386	 	 	17
4784 - 4387	 	 	34
2638 - 4388	 	 	11
3205 - 4389	 	 	19
1059 - 4390	 	 	30
687 - 4391	 	 	1
397 - 4392	 	 	6
2000 - 4393	 	 	9
2228 - 4394	 	 	2
2984 - 4395	 	 	18
425 - 4396	 	 	1
1772 - 4397	 	 	20
4249 - 4398	 	 	36
1704 - 4399	 	 	16
2340 - 4400	 	 	37
3668 - 4401	 	 	18
598 - 4402	 	 	3
4504 - 4403	 	 	1
913 - 4404	 	 	22
2885 - 4405	 	 	22
2779 - 4406	 	 	16
1331 - 4407	 	 	15
4138 - 4408	 	 	19
1833 - 4409	 	 	6
497 - 4410	 	 	22
3662 - 4411	 	 	12
3464 - 4412	 	 	13
1755 - 4413	 	 	6
207 - 4414	 	 	54
1879 - 4415	 	 	18
3269 - 4416	 	 	4
3510 - 4417	 	 	19
3225 - 4418	 	 	19
3066 - 4419	 	 	11
3231 - 4420	 	 	11
2308 - 4421	 	 	8
1777 - 4422	 	 	19
731 - 4423	 	 	16
1876 - 4424	 	 	19
2457 - 4425	 	 	11
3150 - 4426	 	 	45
1044 - 4427	 	 	10
18 - 4428	 	 	4
3054 - 4429	 	 	7
395 - 4430	 	 	4
4507 - 4431	 	 	29
4341 - 4432	 	 	8
48 - 4433	 	 	20
4816 - 4434	 	 	2
546 - 4435	 	 	8
4083 - 4436	 	 	2
2305 - 4437	 	 	9
4235 - 4438	 	 	8
4908 - 4439	 	 	12
1375 - 4440	 	 	4
136 - 4441	 	 	40
4787 - 4442	 	 	20
4956 - 4443	 	 	5
2056 - 4444	 	 	5
3814 - 4445	 	 	21
3771 - 4446	 	 	15
70 - 4447	 	 	11
3348 - 4448	 	 	14
20 - 4449	 	 	38
2544 - 4450	 	 	4
2374 - 4451	 	 	13
1300 - 4452	 	 	3
4182 - 4453	 	 	16
1432 - 4454	 	 	6
1064 - 4455	 	 	8
2042 - 4456	 	 	24
1625 - 4457	 	 	22
1401 - 4458	 	 	13
1111 - 4459	 	 	23
3016 - 4460	 	 	29
3587 - 4461	 	 	15
2430 - 4462	 	 	10
4647 - 4463	 	 	6
1116 - 4464	 	 	4
3115 - 4465	 	 	13
320 - 4466	 	 	11
2916 - 4467	 	 	4
1410 - 4468	 	 	38
3720 - 4469	 	 	11
4078 - 4470	 	 	14
4754 - 4471	 	 	3
2598 - 4472	 	 	23
416 - 4473	 	 	1
3619 - 4474	 	 	37
4214 - 4475	 	 	28
3217 - 4476	 	 	15
3344 - 4477	 	 	12
539 - 4478	 	 	37
1473 - 4479	 	 	22
3973 - 4480	 	 	28
3629 - 4481	 	 	6
1326 - 4482	 	 	20
3573 - 4483	 	 	14
2054 - 4484	 	 	4
1434 - 4485	 	 	5
272 - 4486	 	 	17
1861 - 4487	 	 	34
4128 - 4488	 	 	3
4371 - 4489	 	 	15
2673 - 4490	 	 	41
1887 - 4491	 	 	2
4509 - 4492	 	 	7
1645 - 4493	 	 	21
3231 - 4494	 	 	5
145 - 4495	 	 	18
1288 - 4496	 	 	19
3509 - 4497	 	 	15
1785 - 4498	 	 	16
1165 - 4499	 	 	16
120 - 4500	 	 	25
2784 - 4501	 	 	10
969 - 4502	 	 	6
2641 - 4503	 	 	13
2580 - 4504	 	 	11
3578 - 4505	 	 	7
4227 - 4506	 	 	14
2065 - 4507	 	 	1
2948 - 4508	 	 	4
2428 - 4509	 	 	9
3403 - 4510	 	 	38
3708 - 4511	 	 	19
916 - 4512	 	 	24
787 - 4513	 	 	11
716 - 4514	 	 	30
991 - 4515	 	 	10
4544 - 4516	 	 	20
2068 - 4517	 	 	6
3709 - 4518	 	 	3
3847 - 4519	 	 	3
2375 - 4520	 	 	3
3794 - 4521	 	 	17
2258 - 4522	 	 	11
637 - 4523	 	 	14
4183 - 4524	 	 	1
1776 - 4525	 	 	24
1176 - 4526	 	 	2
562 - 4527	 	 	1
2838 - 4528	 	 	12
2706 - 4529	 	 	53
4464 - 4530	 	 	1
1493 - 4531	 	 	19
695 - 4532	 	 	41
4669 - 4533	 	 	2
2615 - 4534	 	 	34
2486 - 4535	 	 	19
4176 - 4536	 	 	16
56 - 4537	 	 	38
632 - 4538	 	 	11
4124 - 4539	 	 	49
2162 - 4540	 	 	13
1042 - 4541	 	 	14
2213 - 4542	 	 	5
416 - 4543	 	 	10
1849 - 4544	 	 	16
3266 - 4545	 	 	12
4469 - 4546	 	 	7
3813 - 4547	 	 	32
701 - 4548	 	 	4
1592 - 4549	 	 	37
132 - 4550	 	 	16
147 - 4551	 	 	12
4216 - 4552	 	 	27
1794 - 4553	 	 	30
2955 - 4554	 	 	21
3855 - 4555	 	 	16
1987 - 4556	 	 	4
571 - 4557	 	 	27
1531 - 4558	 	 	23
3583 - 4559	 	 	21
2778 - 4560	 	 	15
667 - 4561	 	 	19
1708 - 4562	 	 	19
1566 - 4563	 	 	2
347 - 4564	 	 	26
2969 - 4565	 	 	19
4371 - 4566	 	 	33
3948 - 4567	 	 	19
1450 - 4568	 	 	13
1304 - 4569	 	 	6
4403 - 4570	 	 	19
4017 - 4571	 	 	4
1459 - 4572	 	 	2
1318 - 4573	 	 	5
1453 - 4574	 	 	6
426 - 4575	 	 	14
1947 - 4576	 	 	16
185 - 4577	 	 	5
63 - 4578	 	 	2
2569 - 4579	 	 	3
1697 - 4580	 	 	14
2800 - 4581	 	 	13
1262 - 4582	 	 	24
4859 - 4583	 	 	18
1 - 4584	 	 	43
2708 - 4585	 	 	17
3457 - 4586	 	 	14
3480 - 4587	 	 	6
504 - 4588	 	 	9
4883 - 4589	 	 	3
2710 - 4590	 	 	9
2058 - 4591	 	 	27
43 - 4592	 	 	5
3223 - 4593	 	 	5
1632 - 4594	 	 	18
238 - 4595	 	 	22
2217 - 4596	 	 	9
1839 - 4597	 	 	19
2576 - 4598	 	 	6
2060 - 4599	 	 	1
1887 - 4600	 	 	15
1217 - 4601	 	 	15
3020 - 4602	 	 	5
4099 - 4603	 	 	12
2424 - 4604	 	 	1
4832 - 4605	 	 	11
3792 - 4606	 	 	13
1205 - 4607	 	 	6
919 - 4608	 	 	15
2378 - 4609	 	 	10
552 - 4610	 	 	22
4422 - 4611	 	 	52
2686 - 4612	 	 	16
2095 - 4613	 	 	17
3780 - 4614	 	 	12
1661 - 4615	 	 	12
4078 - 4616	 	 	10
3927 - 4617	 	 	36
2824 - 4618	 	 	62
3215 - 4619	 	 	3
1758 - 4620	 	 	15
556 - 4621	 	 	36
588 - 4622	 	 	8
3355 - 4623	 	 	12
2673 - 4624	 	 	55
4318 - 4625	 	 	30
1521 - 4626	 	 	27
2734 - 4627	 	 	25
1687 - 4628	 	 	25
618 - 4629	 	 	6
1979 - 4630	 	 	9
4162 - 4631	 	 	4
333 - 4632	 	 	9
1644 - 4633	 	 	32
4983 - 4634	 	 	7
4440 - 4635	 	 	9
3495 - 4636	 	 	33
2559 - 4637	 	 	23
4864 - 4638	 	 	1
2509 - 4639	 	 	12
3408 - 4640	 	 	6
1779 - 4641	 	 	46
1765 - 4642	 	 	6
409 - 4643	 	 	10
2383 - 4644	 	 	12
2064 - 4645	 	 	17
3623 - 4646	 	 	8
1218 - 4647	 	 	3
496 - 4648	 	 	22
4652 - 4649	 	 	11
4629 - 4650	 	 	16
4508 - 4651	 	 	14
1488 - 4652	 	 	14
4032 - 4653	 	 	28
4340 - 4654	 	 	4
4401 - 4655	 	 	23
2460 - 4656	 	 	14
3005 - 4657	 	 	52
850 - 4658	 	 	25
2787 - 4659	 	 	17
2295 - 4660	 	 	12
891 - 4661	 	 	12
3844 - 4662	 	 	6
24 - 4663	 	 	25
4038 - 4664	 	 	9
2660 - 4665	 	 	45
2305 - 4666	 	 	20
458 - 4667	 	 	26
3624 - 4668	 	 	1
4066 - 4669	 	 	12
334 - 4670	 	 	5
2479 - 4671	 	 	9
3021 - 4672	 	 	21
4276 - 4673	 	 	18
151 - 4674	 	 	73
1327 - 4675	 	 	6
566 - 4676	 	 	3
3277 - 4677	 	 	35
1246 - 4678	 	 	23
1641 - 4679	 	 	9
2176 - 4680	 	 	11
3936 - 4681	 	 	53
1892 - 4682	 	 	49
2491 - 4683	 	 	16
2030 - 4684	 	 	7
4604 - 4685	 	 	25
4202 - 4686	 	 	18
2271 - 4687	 	 	6
227 - 4688	 	 	38
3346 - 4689	 	 	14
2599 - 4690	 	 	6
1151 - 4691	 	 	14
1085 - 4692	 	 	2
2791 - 4693	 	 	33
4152 - 4694	 	 	19
4990 - 4695	 	 	3
3985 - 4696	 	 	12
2817 - 4697	 	 	11
202 - 4698	 	 	5
3244 - 4699	 	 	22
4522 - 4700	 	 	27
1937 - 4701	 	 	17
4825 - 4702	 	 	21
164 - 4703	 	 	10
3168 - 4704	 	 	17
530 - 4705	 	 	18
194 - 4706	 	 	15
1716 - 4707	 	 	23
3880 - 4708	 	 	10
1304 - 4709	 	 	23
1641 - 4710	 	 	8
783 - 4711	 	 	20
3177 - 4712	 	 	41
3149 - 4713	 	 	2
4105 - 4714	 	 	7
2262 - 4715	 	 	9
796 - 4716	 	 	3
2174 - 4717	 	 	43
3867 - 4718	 	 	7
2798 - 4719	 	 	23
3267 - 4720	 	 	19
1342 - 4721	 	 	11
935 - 4722	 	 	5
870 - 4723	 	 	12
4818 - 4724	 	 	22
854 - 4725	 	 	5
1493 - 4726	 	 	4
2588 - 4727	 	 	9
142 - 4728	 	 	12
2676 - 4729	 	 	32
648 - 4730	 	 	7
4407 - 4731	 	 	10
239 - 4732	 	 	13
2024 - 4733	 	 	26
3954 - 4734	 	 	20
3125 - 4735	 	 	37
1045 - 4736	 	 	13
4809 - 4737	 	 	15
3303 - 4738	 	 	12
553 - 4739	 	 	18
2087 - 4740	 	 	24
3619 - 4741	 	 	14
304 - 4742	 	 	7
3188 - 4743	 	 	1
1223 - 4744	 	 	17
4489 - 4745	 	 	37
2991 - 4746	 	 	6
3413 - 4747	 	 	23
552 - 4748	 	 	5
4485 - 4749	 	 	6
3030 - 4750	 	 	18
1051 - 4751	 	 	12
2637 - 4752	 	 	15
3054 - 4753	 	 	10
2940 - 4754	 	 	34
3052 - 4755	 	 	5
4847 - 4756	 	 	7
662 - 4757	 	 	6
3160 - 4758	 	 	14
3861 - 4759	 	 	11
405 - 4760	 	 	4
3196 - 4761	 	 	19
3031 - 4762	 	 	6
44 - 4763	 	 	11
1586 - 4764	 	 	25
3850 - 4765	 	 	15
2001 - 4766	 	 	20
3114 - 4767	 	 	20
3050 - 4768	 	 	5
2319 - 4769	 	 	19
950 - 4770	 	 	7
3475 - 4771	 	 	1
2111 - 4772	 	 	20
2737 - 4773	 	 	22
2072 - 4774	 	 	21
738 - 4775	 	 	9
4951 - 4776	 	 	14
285 - 4777	 	 	3
309 - 4778	 	 	54
4016 - 4779	 	 	15
3644 - 4780	 	 	19
1528 - 4781	 	 	16
1136 - 4782	 	 	5
1922 - 4783	 	 	14
2509 - 4784	 	 	6
641 - 4785	 	 	29
1148 - 4786	 	 	2
2287 - 4787	 	 	5
1712 - 4788	 	 	29
2939 - 4789	 	 	29
1432 - 4790	 	 	2
970 - 4791	 	 	20
663 - 4792	 	 	15
440 - 4793	 	 	11
4444 - 4794	 	 	21
401 - 4795	 	 	35
4256 - 4796	 	 	9
3669 - 4797	 	 	8
3716 - 4798	 	 	20
1108 - 4799	 	 	7
1062 - 4800	 	 	14
1222 - 4801	 	 	26
1288 - 4802	 	 	18
4270 - 4803	 	 	13
2889 - 4804	 	 	22
859 - 4805	 	 	25
4573 - 4806	 	 	26
4599 - 4807	 	 	1
3564 - 4808	 	 	14
431 - 4809	 	 	13
3123 - 4810	 	 	18
1068 - 4811	 	 	18
1751 - 4812	 	 	20
2841 - 4813	 	 	5
60 - 4814	 	 	8
1954 - 4815	 	 	17
2722 - 4816	 	 	13
983 - 4817	 	 	17
1450 - 4818	 	 	4
3065 - 4819	 	 	3
2231 - 4820	 	 	32
325 - 4821	 	 	17
2098 - 4822	 	 	17
3014 - 4823	 	 	31
4813 - 4824	 	 	33
839 - 4825	 	 	7
3811 - 4826	 	 	28
555 - 4827	 	 	11
3824 - 4828	 	 	12
3630 - 4829	 	 	11
3334 - 4830	 	 	14
4161 - 4831	 	 	20
1261 - 4832	 	 	5
4307 - 4833	 	 	12
3093 - 4834	 	 	14
11 - 4835	 	 	21
2021 - 4836	 	 	17
2510 - 4837	 	 	10
3207 - 4838	 	 	20
4265 - 4839	 	 	25
2544 - 4840	 	 	5
67 - 4841	 	 	12
3260 - 4842	 	 	18
2319 - 4843	 	 	25
2107 - 4844	 	 	15
4155 - 4845	 	 	25
2677 - 4846	 	 	22
266 - 4847	 	 	6
3159 - 4848	 	 	3
2130 - 4849	 	 	7
73 - 4850	 	 	12
3305 - 4851	 	 	10
3969 - 4852	 	 	17
2649 - 4853	 	 	40
3319 - 4854	 	 	1
681 - 4855	 	 	17
1252 - 4856	 	 	14
1170 - 4857	 	 	6
445 - 4858	 	 	22
4434 - 4859	 	 	15
4266 - 4860	 	 	2
530 - 4861	 	 	17
3159 - 4862	 	 	15
781 - 4863	 	 	4
3784 - 4864	 	 	18
4860 - 4865	 	 	10
2961 - 4866	 	 	9
1127 - 4867	 	 	13
3524 - 4868	 	 	33
237 - 4869	 	 	11
4596 - 4870	 	 	16
861 - 4871	 	 	8
2782 - 4872	 	 	10
1677 - 4873	 	 	3
450 - 4874	 	 	30
3158 - 4875	 	 	9
2454 - 4876	 	 	47
1628 - 4877	 	 	14
1493 - 4878	 	 	4
1864 - 4879	 	 	13
2967 - 4880	 	 	11
4519 - 4881	 	 	20
1980 - 4882	 	 	16
2573 - 4883	 	 	16
495 - 4884	 	 	19
613 - 4885	 	 	4
3046 - 4886	 	 	18
3689 - 4887	 	 	9
181 - 4888	 	 	9
2588 - 4889	 	 	16
3391 - 4890	 	 	35
2257 - 4891	 	 	5
3335 - 4892	 	 	15
2287 - 4893	 	 	13
2558 - 4894	 	 	17
884 - 4895	 	 	3
1303 - 4896	 	 	12
3016 - 4897	 	 	13
4101 - 4898	 	 	22
4111 - 4899	 	 	4
3027 - 4900	 	 	26
3721 - 4901	 	 	2
2769 - 4902	 	 	13
371 - 4903	 	 	17
297 - 4904	 	 	12
4704 - 4905	 	 	11
2570 - 4906	 	 	10
865 - 4907	 	 	31
2028 - 4908	 	 	5
2528 - 4909	 	 	21
4161 - 4910	 	 	9
1317 - 4911	 	 	19
4684 - 4912	 	 	2
366 - 4913	 	 	15
1704 - 4914	 	 	1
3335 - 4915	 	 	27
3415 - 4916	 	 	12
4864 - 4917	 	 	11
915 - 4918	 	 	76
3014 - 4919	 	 	13
2308 - 4920	 	 	66
458 - 4921	 	 	1
2269 - 4922	 	 	8
2647 - 4923	 	 	28
2225 - 4924	 	 	1
322 - 4925	 	 	17
3766 - 4926	 	 	11
2523 - 4927	 	 	27
4015 - 4928	 	 	11
1498 - 4929	 	 	34
1842 - 4930	 	 	21
2994 - 4931	 	 	14
4640 - 4932	 	 	4
3005 - 4933	 	 	20
1512 - 4934	 	 	20
335 - 4935	 	 	24
4666 - 4936	 	 	1
2805 - 4937	 	 	3
1129 - 4938	 	 	8
277 - 4939	 	 	18
3966 - 4940	 	 	14
2977 - 4941	 	 	3
2075 - 4942	 	 	11
1666 - 4943	 	 	10
4559 - 4944	 	 	24
1170 - 4945	 	 	5
96 - 4946	 	 	6
1899 - 4947	 	 	3
2173 - 4948	 	 	2
2117 - 4949	 	 	5
1248 - 4950	 	 	19
737 - 4951	 	 	16
204 - 4952	 	 	14
69 - 4953	 	 	7
3248 - 4954	 	 	26
1037 - 4955	 	 	5
2984 - 4956	 	 	6
2606 - 4957	 	 	14
1837 - 4958	 	 	9
896 - 4959	 	 	13
3833 - 4960	 	 	8
3194 - 4961	 	 	14
3730 - 4962	 	 	3
1838 - 4963	 	 	30
78 - 4964	 	 	11
3275 - 4965	 	 	3
4063 - 4966	 	 	6
1861 - 4967	 	 	20
899 - 4968	 	 	37
3288 - 4969	 	 	5
4169 - 4970	 	 	5
434 - 4971	 	 	4
2150 - 4972	 	 	52
1903 - 4973	 	 	7
1553 - 4974	 	 	21
1317 - 4975	 	 	22
4021 - 4976	 	 	1
2 - 4977	 	 	19
542 - 4978	 	 	13
4266 - 4979	 	 	19
1200 - 4980	 	 	7
3672 - 4981	 	 	22
1856 - 4982	 	 	11
2523 - 4983	 	 	18
1340 - 4984	 	 	13
4097 - 4985	 	 	18
721 - 4986	 	 	7
4450 - 4987	 	 	5
1062 - 4988	 	 	9
3852 - 4989	 	 	3
1541 - 4990	 	 	31
670 - 4991	 	 	12
4274 - 4992	 	 	16
623 - 4993	 	 	4
315 - 4994	 	 	4
1486 - 4995	 	 	14
4103 - 4996	 	 	13
4499 - 4997	 	 	4
3681 - 4998	 	 	6
4781 - 4999	 	 	24
